Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
2000-04-26,10551.79,0.00,12064.95,21671.51,9
2000-04-27,10545.93,0.00,12025.06,21840.10,9
2000-04-28,10519.66,0.00,11950.41,22131.76,9
2000-05-01,10556.09,0.00,12112.57,22146.65,9
2000-05-02,10562.74,0.00,11870.62,22234.49,9
2000-05-03,10567.45,0.00,11592.65,21940.45,9
2000-05-04,10543.92,0.00,11680.16,21907.20,9
2000-05-05,10557.20,0.00,11821.72,22098.69,9
2000-05-08,10567.98,0.00,11732.92,22187.63,9
2000-05-09,10552.00,0.00,11638.98,22030.64,9
2000-05-10,10557.54,0.00,11376.44,21920.78,9
2000-05-11,10537.57,0.00,11636.40,21879.39,9
2000-05-12,10560.66,0.00,11762.52,22214.52,9
2000-05-15,10543.97,0.00,11965.86,22037.32,9
2000-05-16,10548.44,0.00,12081.68,22228.36,9
2000-05-17,10554.11,0.00,11955.56,22295.29,9
2000-05-18,10536.18,0.00,11808.85,22323.45,9
2000-05-19,10528.40,0.00,11623.53,22183.14,9
2000-05-22,10552.07,0.00,11536.03,22173.68,9
2000-05-23,10553.10,0.00,11366.15,22360.72,9
2000-05-24,10568.62,0.00,11551.47,22332.61,9
2000-05-25,10600.12,0.00,11353.28,22506.46,9
2000-05-26,10609.77,0.00,11366.15,22684.86,9
2000-05-30,10614.93,0.00,11736.78,22780.71,9
2000-05-31,10590.50,0.00,11762.52,22816.48,9
2000-06-01,10574.41,0.00,11968.43,23085.62,9
2000-06-02,10573.40,0.00,12176.91,23258.82,9
2000-06-05,10566.22,0.00,12117.72,23485.02,9
2000-06-06,10577.51,0.00,12063.66,23695.61,9
2000-06-07,10587.10,0.00,12147.32,23658.76,9
2000-06-08,10611.08,0.00,12099.70,23986.47,9
2000-06-09,10623.93,0.00,12073.96,24061.78,9
2000-06-12,10633.20,0.00,11932.40,24183.87,9
2000-06-13,10618.07,0.00,12156.32,23854.30,9
2000-06-14,10587.70,0.00,12176.91,24240.38,9
2000-06-15,10584.12,0.00,12202.65,24211.85,9
2000-06-16,10612.79,0.00,12102.39,24437.36,9
2000-06-19,10610.61,0.00,12257.19,24641.40,9
2000-06-20,10598.37,0.00,12213.33,25290.28,9
