Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
2000-02-07,10685.00,0.00,11696.76,13542.57,6
2000-02-08,10687.16,0.00,11855.94,13615.63,6
2000-02-09,10669.44,0.00,11606.90,13695.45,6
2000-02-10,10672.71,0.00,11630.01,13571.12,6
2000-02-11,10678.80,0.00,11393.82,13528.44,6
2000-02-14,10687.83,0.00,11460.56,13391.45,6
2000-02-15,10709.56,0.00,11590.22,13441.12,6
2000-02-16,10712.45,0.00,11419.49,13495.83,6
2000-02-17,10707.67,0.00,11360.44,13479.13,6
2000-02-18,10723.66,0.00,11116.54,13514.98,6
2000-02-22,10723.30,0.00,11088.30,13420.03,6
2000-02-23,10697.56,0.00,11219.24,13415.00,6
2000-02-24,10685.17,0.00,10993.32,13591.88,6
2000-02-25,10696.15,0.00,10953.52,13645.39,6
2000-02-28,10711.43,0.00,11183.30,13544.92,6
2000-02-29,10726.37,0.00,11291.13,13661.83,6
2000-03-01,10726.03,0.00,11373.28,13857.14,6
2000-03-02,10710.02,0.00,11380.98,13956.83,6
2000-03-03,10716.26,0.00,11594.07,14027.89,6
2000-03-06,10747.52,0.00,11481.11,14298.47,6
2000-03-07,10716.44,0.00,11259.03,14378.42,6
2000-03-08,10721.78,0.00,11244.91,14383.24,6
2000-03-09,10726.75,0.00,11573.53,14365.16,6
2000-03-10,10725.87,0.00,11511.91,14462.24,6
2000-03-13,10720.20,0.00,11386.11,14264.32,6
2000-03-14,10729.49,0.00,11224.38,14360.78,6
2000-03-15,10729.03,0.00,11486.24,14186.36,6
2000-03-16,10723.66,0.00,12022.82,14397.17,6
2000-03-17,10694.38,0.00,12102.27,14818.95,6
2000-03-20,10588.14,0.00,12040.50,14836.35,6
2000-03-21,10567.04,0.00,12287.59,14665.29,6
2000-03-22,10557.33,0.00,12362.24,14917.52,6
2000-03-23,10587.85,0.00,12573.29,15080.74,6
2000-03-24,10599.08,0.00,12647.93,15310.93,6
2000-03-27,10591.76,0.00,12514.09,15369.76,6
2000-03-28,10578.78,0.00,12442.02,15203.24,6
2000-03-29,10565.78,0.00,12454.89,15181.37,6
2000-03-30,10576.25,0.00,12246.41,14755.97,6
2000-03-31,10603.54,0.00,12385.39,14888.48,6
2000-04-03,10628.91,0.00,12457.47,14873.90,6
2000-04-04,10586.56,0.00,12364.80,14971.98,6
2000-04-05,10602.94,0.00,12287.59,14893.63,6
2000-04-06,10621.43,0.00,12394.41,14932.81,6
2000-04-07,10608.55,0.00,12472.91,15075.41,6
2000-04-10,10595.55,0.00,12424.00,15110.52,6
2000-04-11,10609.29,0.00,12387.97,15067.23,6
2000-04-12,10622.03,0.00,12048.22,15053.91,6
2000-04-13,10617.40,0.00,11880.92,15002.56,6
2000-04-14,10608.21,0.00,11201.42,14835.93,6
2000-04-17,10570.97,0.00,11592.65,14634.18,6
2000-04-18,10580.34,0.00,11898.94,14870.56,6
2000-04-19,10586.45,0.00,11788.27,15230.75,6
2000-04-20,10595.89,0.00,11844.89,15163.17,6
2000-04-24,10593.64,0.00,11716.19,15083.84,6
